Athlete,Country,Year,Sport,Gold,Silver,Bronze,Total
Ana Brânza,Romania,2008,Fencing,0,1,0,1
Benjamin Kleibrink,Germany,2008,Fencing,1,0,0,1
Viktoriya Nikishina,Russia,2008,Fencing,1,0,0,1
Brice Guyart,France,2004,Fencing,1,0,0,1
Fabrice Jeannet,France,2004,Fencing,1,0,0,1
Ruslan Nasibulin,Russia,2004,Fencing,0,0,1,1
Wang Lei,China,2004,Fencing,0,1,0,1
Wu Hanxiong,China,2004,Fencing,0,1,0,1
Diana Romagnoli,Switzerland,2000,Fencing,0,1,0,1
Anna Rybicka,Poland,2000,Fencing,0,1,0,1
Meaghan Benfeito,Canada,2012,Diving,0,0,1,1
Kelci Bryant,United States,2012,Diving,0,1,0,1
Alexandre Despatie,Canada,2008,Diving,0,1,0,1
Peng Bo,China,2004,Diving,1,0,0,1
Peter Waterfield,Great Britain,2004,Diving,0,1,0,1
Heiko Meyer,Germany,2000,Diving,0,0,1,1
Yuliya Pakhalina,Russia,2000,Diving,1,0,0,1
Xiao Hailiang,China,2000,Diving,1,0,0,1
Lizzie Armitstead,Great Britain,2012,Cycling,0,1,0,1
Jack Bobridge,Australia,2012,Cycling,0,1,0,1
Julie Bresset,France,2012,Cycling,1,0,0,1
Peter Kennaugh,Great Britain,2012,Cycling,1,0,0,1
Glenn O'Shea,Australia,2012,Cycling,0,1,0,1
Joanna Rowsell,Great Britain,2012,Cycling,1,0,0,1
Simon van Velthooven,New Zealand,2012,Cycling,0,0,1,1
Grégory Baugé,France,2008,Cycling,0,1,0,1
Ed Clancy,Great Britain,2008,Cycling,1,0,0,1
Mike Day,United States,2008,Cycling,0,1,0,1
Tania Guderzo,Italy,2008,Cycling,0,0,1,1
Mikhail Ignatyev,Russia,2008,Cycling,0,0,1,1
Michael Mørkøv,Denmark,2008,Cycling,0,1,0,1
Sara Carrigan,Australia,2004,Cycling,1,0,0,1
Steve Cummings,Great Britain,2004,Cycling,0,1,0,1
Michelle Ferris,Australia,2000,Cycling,0,1,0,1
Joe Polo,United States,2006,Curling,0,0,1,1
John Shuster,United States,2006,Curling,0,0,1,1
Marco Ramstein,Switzerland,2002,Curling,0,0,1,1
Dario Cologna,Switzerland,2010,Cross Country Skiing,1,0,0,1
Martin Jakš,Czech Republic,2010,Cross Country Skiing,0,0,1,1
Nikolay Morilov,Russia,2010,Cross Country Skiing,0,0,1,1
Ivan Alypov,Russia,2006,Cross Country Skiing,0,0,1,1
Justyna Kowalczyk,Poland,2006,Cross Country Skiing,0,0,1,1
Hannes Aigner,Germany,2012,Canoeing,0,0,1,1
Lisa Carrington,New Zealand,2012,Canoeing,1,0,0,1
Tamás Kulifai,Hungary,2012,Canoeing,0,1,0,1
Kurt Kuschela,Germany,2012,Canoeing,1,0,0,1
Nadezhda Popok,Belarus,2012,Canoeing,0,0,1,1
Yury Postrigay,Russia,2012,Canoeing,1,0,0,1
Lukáš Trefil,Czech Republic,2012,Canoeing,0,0,1,1
Saúl Craviotto,Spain,2008,Canoeing,1,0,0,1
Hannah Davis,Australia,2008,Canoeing,0,0,1,1
Mikhail Kuznetsov,Russia,2008,Canoeing,0,0,1,1
Stefan Henze,Germany,2004,Canoeing,0,1,0,1
Roman Petrushenko,Belarus,2004,Canoeing,0,0,1,1
Stefan Pfannmöller,Germany,2004,Canoeing,0,0,1,1
Helen Reeves,Great Britain,2004,Canoeing,0,0,1,1
Richard Riszdorfer,Slovakia,2004,Canoeing,0,0,1,1
Pawel Baraszkiewicz,Poland,2000,Canoeing,0,1,0,1
Tim Brabants,Great Britain,2000,Canoeing,0,0,1,1
Lars Kober,Germany,2000,Canoeing,0,0,1,1
Mariana Limbau,Romania,2000,Canoeing,0,0,1,1
Juraj Mincík,Slovakia,2000,Canoeing,0,0,1,1
Markus Oscarsson,Sweden,2000,Canoeing,0,1,0,1
Krisztián Veréb,Hungary,2000,Canoeing,0,0,1,1
Ákos Vereckei,Hungary,2000,Canoeing,1,0,0,1
Jason Donald,United States,2008,Baseball,0,0,1,1
Miguel La Hera,Cuba,2008,Baseball,0,1,0,1
Matt LaPorta,United States,2008,Baseball,0,0,1,1
Héctor Olivera Jr.,Cuba,2008,Baseball,0,1,0,1
Casey Weathers,United States,2008,Baseball,0,0,1,1
Craig Anderson,Australia,2004,Baseball,0,1,0,1
Danny Betancourt,Cuba,2004,Baseball,1,0,0,1
Hisashi Iwakuma,Japan,2004,Baseball,0,0,1,1
Daisuke Matsuzaka,Japan,2004,Baseball,0,0,1,1
Yoandri Urgellés,Cuba,2004,Baseball,1,0,0,1
Rodney Van Buizen,Australia,2004,Baseball,0,1,0,1
Tsuyoshi Wada,Japan,2004,Baseball,0,0,1,1
Adam Everett,United States,2000,Baseball,1,0,0,1
Hong Seong-Heun,South Korea,2000,Baseball,0,0,1,1
Jeong Su-Geun,South Korea,2000,Baseball,0,0,1,1
Roy Oswalt,United States,2000,Baseball,1,0,0,1
Park Jin-Man,South Korea,2000,Baseball,0,0,1,1
Brad Wilkerson,United States,2000,Baseball,1,0,0,1
Misha Aloyan,Russia,2012,Boxing,0,0,1,1
Marlen Esparza,United States,2012,Boxing,0,0,1,1
Roniel Iglesias,Cuba,2012,Boxing,1,0,0,1
Vincenzo Mangiacapre,Italy,2012,Boxing,0,0,1,1
John Joe Nevin,Ireland,2012,Boxing,0,1,0,1
Adilbek Niyazymbetov,Kazakhstan,2012,Boxing,0,1,0,1
Anthony Ogogo,Great Britain,2012,Boxing,0,0,1,1
Marina Volnova,Kazakhstan,2012,Boxing,0,0,1,1
Osmay Acosta,Cuba,2008,Boxing,0,0,1,1
Enkhbatyn Badar-Uugan,Mongolia,2008,Boxing,1,0,0,1
Hanati Silamu,China,2008,Boxing,0,0,1,1
Yampier Hernández,Cuba,2008,Boxing,0,0,1,1
V'iacheslav Hlazkov,Ukraine,2008,Boxing,0,0,1,1
Tony Jeffries,Great Britain,2008,Boxing,0,0,1,1
Pürevdorjin Serdamba,Mongolia,2008,Boxing,0,1,0,1
Yudel Johnson,Cuba,2004,Boxing,0,1,0,1
Worapoj Petchkoom,Thailand,2004,Boxing,0,1,0,1
Guillermo Rigondeaux,Cuba,2004,Boxing,1,0,0,1
Serik Yeleuov,Kazakhstan,2004,Boxing,0,0,1,1
Zou Shiming,China,2004,Boxing,0,0,1,1
Gaydarbek Gaydarbekov,Russia,2000,Boxing,0,1,0,1
Vitalie Grusac,Moldova,2000,Boxing,0,0,1,1
Diógenes Luña,Cuba,2000,Boxing,0,0,1,1
Dorel Simion,Romania,2000,Boxing,0,0,1,1
Volodymyr Sydorenko,Ukraine,2000,Boxing,0,0,1,1
Kevin Kuske,Germany,2002,Bobsleigh,1,0,0,1
Darya Domracheva,Belarus,2010,Biathlon,0,0,1,1
Svetlana Sleptsova,Russia,2010,Biathlon,1,0,0,1
Zhang Xi,China,2008,Beach Volleyball,0,0,1,1
Semyon Antonov,Russia,2012,Basketball,0,0,1,1
Abby Bishop,Australia,2012,Basketball,0,0,1,1
Tina Charles,United States,2012,Basketball,1,0,0,1
Víctor Claver,Spain,2012,Basketball,0,1,0,1
Kevin Durant,United States,2012,Basketball,1,0,0,1
Kevin Love,United States,2012,Basketball,1,0,0,1
Maya Moore,United States,2012,Basketball,1,0,0,1
Aleksey Shved,Russia,2012,Basketball,0,0,1,1
Russell Westbrook,United States,2012,Basketball,1,0,0,1
Rudy Fernández,Spain,2008,Basketball,0,1,0,1
Marc Gasol,Spain,2008,Basketball,0,1,0,1
LeBron James,United States,2008,Basketball,1,0,0,1
Marina Kuzina,Russia,2008,Basketball,0,0,1,1
Chris Paul,United States,2008,Basketball,1,0,0,1
Erin Phillips,Australia,2008,Basketball,0,1,0,1
Emma Randall,Australia,2008,Basketball,0,1,0,1
Suzy Batkovic,Australia,2004,Basketball,0,1,0,1
Sue Bird,United States,2004,Basketball,1,0,0,1
Lauren Jackson,Australia,2004,Basketball,0,1,0,1
Irina Osipova,Russia,2004,Basketball,0,0,1,1
Natalie Porter,Australia,2004,Basketball,0,1,0,1
Belinda Snell,Australia,2004,Basketball,0,1,0,1
Penny Taylor,Australia,2004,Basketball,0,1,0,1
Nataliya Vodopyanova,Russia,2004,Basketball,0,0,1,1
Shareef Abdur-Rahim,United States,2000,Basketball,1,0,0,1
Vince Carter,United States,2000,Basketball,1,0,0,1
Frédéric Weis,France,2000,Basketball,0,1,0,1
Chen Long,China,2012,Badminton,0,0,1,1
Mizuki Fujii,Japan,2012,Badminton,0,1,0,1
Reika Kakiiwa,Japan,2012,Badminton,0,1,0,1
Lee Yong-Dae,South Korea,2012,Badminton,0,0,1,1
Hendra Setiawan,Indonesia,2008,Badminton,1,0,0,1
Maria Yulianti,Indonesia,2008,Badminton,0,0,1,1
Zhang Yawen,China,2008,Badminton,0,0,1,1
Taufik Hidayat,Indonesia,2004,Badminton,1,0,0,1
Zhang Jiewen,China,2004,Badminton,1,0,0,1
Gong Zhichao,China,2000,Badminton,1,0,0,1
Huang Nanyan,China,2000,Badminton,0,1,0,1
Ade Alleyne-Forte,Trinidad and Tobago,2012,Athletics,0,0,1,1
Ryan Bailey,United States,2012,Athletics,0,1,0,1
Gong Lijiao,China,2012,Athletics,0,0,1,1
Samantha Henry-Robinson,Jamaica,2012,Athletics,0,1,0,1
Stephen Kiprotich,Uganda,2012,Athletics,1,0,0,1
Bianca Knight,United States,2012,Athletics,1,0,0,1
Francena McCorory,United States,2012,Athletics,1,0,0,1
Abel Mutai,Kenya,2012,Athletics,0,0,1,1
Bryshon Nellum,United States,2012,Athletics,0,1,0,1
Demetrius Pinder,Bahamas,2012,Athletics,1,0,0,1
David Rudisha,Kenya,2012,Athletics,1,0,0,1
Valerie Adams-Vili,New Zealand,2008,Athletics,1,0,0,1
Franca Idoko,Nigeria,2008,Athletics,0,0,1,1
Ismail Ahmed Ismail,Sudan,2008,Athletics,0,1,0,1
Olga Kaniskina,Russia,2008,Athletics,1,0,0,1
Eliud Kipchoge,Kenya,2008,Athletics,0,1,0,1
Brimin Kipruto,Kenya,2008,Athletics,1,0,0,1
Lyudmila Litvinova,Russia,2008,Athletics,0,1,0,1
Yevgeniy Lukyanenko,Russia,2008,Athletics,0,1,0,1
Mahiedine Mekhissi-Benabbad,France,2008,Athletics,0,1,0,1
Godfrey Khotso Mokoena,South Africa,2008,Athletics,0,1,0,1
Alex Schwazer,Italy,2008,Athletics,1,0,0,1
Andrey Silnov,Russia,2008,Athletics,1,0,0,1
Naoki Tsukahara,Japan,2008,Athletics,0,0,1,1
Regi Witherspoon,United States,2008,Athletics,1,0,0,1
Aleen Bailey,Jamaica,2004,Athletics,1,0,0,1
Yury Borzakovsky,Russia,2004,Athletics,1,0,0,1
Nadia Davy,Jamaica,2004,Athletics,0,0,1,1
Nataliya Ivanova,Russia,2004,Athletics,0,1,0,1
Dmitry Karpov,Kazakhstan,2004,Athletics,0,0,1,1
John Moffitt,United States,2004,Athletics,0,1,0,1
Yipsi Moreno,Cuba,2004,Athletics,0,1,0,1
Mbulaeni Mulaudzi,South Africa,2004,Athletics,0,1,0,1
Moushaumi Robinson,United States,2004,Athletics,1,0,0,1
Anna Rogowska,Poland,2004,Athletics,0,0,1,1
Olesya Zykina,Russia,2004,Athletics,0,1,0,1
Hadi Soua'an Al-Somaily,Saudi Arabia,2000,Athletics,0,1,0,1
Andrea Anderson,United States,2000,Athletics,1,0,0,1
Kajsa Bergqvist,Sweden,2000,Athletics,0,0,1,1
Michelle Burgher,Jamaica,2000,Athletics,0,1,0,1
Torri Edwards,United States,2000,Athletics,0,0,1,1
Abderrahmane Hammad,Algeria,2000,Athletics,0,0,1,1
Llewellyn Herbert,South Africa,2000,Athletics,0,0,1,1
Tatyana Kotova,Russia,2000,Athletics,0,0,1,1
Vicente Lima,Brazil,2000,Athletics,0,1,0,1
Mirela Maniani-Tzelili,Greece,2000,Athletics,0,1,0,1
Tereza Marinova,Bulgaria,2000,Athletics,1,0,0,1
Kirsten Münchow,Germany,2000,Athletics,0,0,1,1
Nanceen Perry,United States,2000,Athletics,0,0,1,1
Yanina Provalinskaya-Karolchik,Belarus,2000,Athletics,1,0,0,1
Djabir Saïd-Guerni,Algeria,2000,Athletics,0,0,1,1
Carlo Janka,Switzerland,2010,Alpine Skiing,1,0,0,1
Karen Putzer,Italy,2002,Alpine Skiing,0,0,1,1
Brady Ellison,United States,2012,Archery,0,1,0,1
Jake Kaminski,United States,2012,Archery,0,1,0,1
Miki Kanie,Japan,2012,Archery,0,0,1,1
Im Dong-Hyeon,South Korea,2008,Archery,1,0,0,1
Chen Li-Ju,Chinese Taipei,2004,Archery,0,0,1,1
Chen Szu-Yuan,Chinese Taipei,2004,Archery,0,1,0,1
Viktor Ruban,Ukraine,2004,Archery,0,0,1,1
Zhang Juanjuan,China,2004,Archery,0,1,0,1
Rod White,United States,2000,Archery,0,0,1,1
Aleksey Nemov,Russia,2000,Gymnastics,2,1,3,6
Alicia Coutts,Australia,2012,Swimming,1,3,1,5
Kirsty Coventry,Zimbabwe,2008,Swimming,1,3,0,4
Ryan Lochte,United States,2008,Swimming,2,0,2,4
Petter Northug Jr.,Norway,2010,Cross Country Skiing,2,1,1,4
Dana Vollmer,United States,2012,Swimming,3,0,0,3
Grant Hackett,Australia,2004,Swimming,1,2,0,3
Roland Schoeman,South Africa,2004,Swimming,1,1,1,3
Lenny Krayzelburg,United States,2000,Swimming,3,0,0,3
Wang Meng,China,2010,Short-Track Speed Skating,3,0,0,3
Enrico Fabris,Italy,2006,Speed Skating,2,0,1,3
Zou Kai,China,2012,Gymnastics,2,0,1,3
Bradley Wiggins,Great Britain,2004,Cycling,1,1,1,3
Emil Hegle Svendsen,Norway,2010,Biathlon,2,1,0,3
Anja Pärson,Sweden,2006,Alpine Skiing,1,0,2,3
Li Xiaoxia,China,2012,Table Tennis,2,0,0,2
Zhang Jike,China,2012,Table Tennis,2,0,0,2
Wang Hao,China,2008,Table Tennis,1,1,0,2
Kong Linghui,China,2000,Table Tennis,1,1,0,2
Li Ju,China,2000,Table Tennis,1,1,0,2
Liu Guoliang,China,2000,Table Tennis,0,1,1,2
Fernando González,Chile,2004,Tennis,1,0,1,2
Miho Takeda,Japan,2000,Synchronized Swimming,0,2,0,2
Ricky Berens,United States,2012,Swimming,1,1,0,2
Clément Lefert,France,2012,Swimming,1,1,0,2
Jeremy Stravius,France,2012,Swimming,1,1,0,2
Patrick Murphy,Australia,2008,Swimming,0,0,2,2
Brenton Rickard,Australia,2008,Swimming,0,2,0,2
Britta Steffen,Germany,2008,Swimming,2,0,0,2
Hayden Stoeckel,Australia,2008,Swimming,0,1,1,2
Peter Vanderkaay,United States,2008,Swimming,1,0,1,2
Arkady Vyachanin,Russia,2008,Swimming,0,0,2,2
Jason Lezak,United States,2000,Swimming,1,1,0,2
Martina Moravcová,Slovakia,2000,Swimming,0,2,0,2
Adam Pine,Australia,2000,Swimming,1,1,0,2
Neil Walker,United States,2000,Swimming,1,1,0,2
Evgeniya Radanova,Bulgaria,2002,Short-Track Speed Skating,0,1,1,2
Yang Yang (S),China,2002,Short-Track Speed Skating,0,1,1,2
Matti Hautamäki,Finland,2006,Ski Jumping,0,2,0,2
Adam Malysz,Poland,2002,Ski Jumping,0,1,1,2
Niccolò Campriani,Italy,2012,Shooting,1,1,0,2
Katerina Kurková-Emmons,Czech Republic,2008,Shooting,1,1,0,2
Georgeta Damian-Andrunache,Romania,2000,Rowing,2,0,0,2
Ronny Ackermann,Germany,2002,Nordic Combined,0,2,0,2
Feng Zhe,China,2012,Gymnastics,2,0,0,2
Marcel Nguyen,Germany,2012,Gymnastics,0,2,0,2
Catalina Ponor,Romania,2012,Gymnastics,0,1,1,2
Takehiro Kashima,Japan,2004,Gymnastics,1,0,1,2
Arianna Errigo,Italy,2012,Fencing,1,1,0,2
Tian Liang,China,2004,Diving,1,0,1,2
Jason Kenny,Great Britain,2012,Cycling,2,0,0,2
Robert Bartko,Germany,2000,Cycling,2,0,0,2
Marcus Hellner,Sweden,2010,Cross Country Skiing,2,0,0,2
Tina Dietze,Germany,2012,Canoeing,1,1,0,2
Katalin Kovács,Hungary,2000,Canoeing,0,2,0,2
Vincent Jay,France,2010,Biathlon,1,0,1,2
Yevgeny Ustyugov,Russia,2010,Biathlon,1,0,1,2
Andrea Henkel,Germany,2002,Biathlon,2,0,0,2
David Neville,United States,2008,Athletics,1,0,1,2
Kerron Stewart,Jamaica,2008,Athletics,0,1,1,2
Jeremy Wariner,United States,2008,Athletics,1,1,0,2
Gabriela Szabo,Romania,2000,Athletics,1,0,1,2
Janica Kostelic,Croatia,2006,Alpine Skiing,1,1,0,2
Marlies Schild,Austria,2006,Alpine Skiing,0,1,1,2
Bode Miller,United States,2002,Alpine Skiing,0,2,0,2
Ki Bo-Bae,South Korea,2012,Archery,2,0,0,2
Vic Wunderle,United States,2000,Archery,0,1,1,2
Jordan Burroughs,United States,2012,Wrestling,1,0,0,1
Komeil Ghasemi,Iran,2012,Wrestling,0,0,1,1
Sadegh Goudarzi,Iran,2012,Wrestling,0,1,0,1
Jing Ruixue,China,2012,Wrestling,0,1,0,1
Zaur Kuramagomedov,Russia,2012,Wrestling,0,0,1,1
Revaz Lashkhi,Georgia,2012,Wrestling,0,1,0,1
Bilyal Makhov,Russia,2012,Wrestling,0,0,1,1
Péter Módos,Hungary,2012,Wrestling,0,0,1,1
Mariya Stadnik,Azerbaijan,2012,Wrestling,0,1,0,1
Denis Tsargush,Russia,2012,Wrestling,0,0,1,1
Roman Amoyan,Armenia,2008,Wrestling,0,0,1,1
Mavlet Batyrov,Russia,2008,Wrestling,1,0,0,1
Kanat Begaliyev,Kyrgyzstan,2008,Wrestling,0,1,0,1
Chang Yongxiang,China,2008,Wrestling,0,1,0,1
Kaori Icho,Japan,2008,Wrestling,1,0,0,1
Randi Miller,United States,2008,Wrestling,0,0,1,1
Mikhail Semyonov,Belarus,2008,Wrestling,0,0,1,1
Kiril Terziev,Bulgaria,2008,Wrestling,0,0,1,1
Soslan Tigiyev,Uzbekistan,2008,Wrestling,0,1,0,1
Radoslav Velikov,Bulgaria,2008,Wrestling,0,0,1,1
Aleksandr Dokturishivili,Uzbekistan,2004,Wrestling,1,0,0,1
Karam Gaber,Egypt,2004,Wrestling,1,0,0,1
Yandro Quintana,Cuba,2004,Wrestling,1,0,0,1
Varteres Samurgashev,Russia,2004,Wrestling,0,0,1,1
Sazhid Sazhidov,Russia,2004,Wrestling,0,0,1,1
Dmitry Debelka,Belarus,2000,Wrestling,0,0,1,1
Amiran Kardanov,Greece,2000,Wrestling,0,0,1,1
Brandon Slay,United States,2000,Wrestling,1,0,0,1
Hamza Yerlikaya,Turkey,2000,Wrestling,1,0,0,1
Ruslan Albegov,Russia,2012,Weightlifting,0,0,1,1
Ilya Ilyin,Kazakhstan,2012,Weightlifting,1,0,0,1
Triyatno,Indonesia,2012,Weightlifting,0,1,0,1
Svetlana Tsarukayeva,Russia,2012,Weightlifting,0,1,0,1
Zhou Lulu,China,2012,Weightlifting,1,0,0,1
Cao Lei,China,2008,Weightlifting,1,0,0,1
Jang Mi-Ran,South Korea,2008,Weightlifting,1,0,0,1
Prapawadee Jaroenrattanatarakoon,Thailand,2008,Weightlifting,1,0,0,1
O Jong-Ae,North Korea,2008,Weightlifting,0,0,1,1
Dmitry Berestov,Russia,2004,Weightlifting,1,0,0,1
Milen Dobrev,Bulgaria,2004,Weightlifting,1,0,0,1
Lee Bae-Yeong,South Korea,2004,Weightlifting,0,1,0,1
Shi Zhiyong,China,2004,Weightlifting,1,0,0,1
Aree Wiratthaworn,Thailand,2004,Weightlifting,0,0,1,1
Wu Meijin,China,2004,Weightlifting,0,1,0,1
Arsen Melikyan,Armenia,2000,Weightlifting,0,0,1,1
Gennady Oleshchuk,Belarus,2000,Weightlifting,0,0,1,1
Winarni Binti Slamet,Indonesia,2000,Weightlifting,0,0,1,1
Ivan Buljubašic,Croatia,2012,Waterpolo,1,0,0,1
Alex Giorgetti,Italy,2012,Waterpolo,0,1,0,1
Maro Jokovic,Croatia,2012,Waterpolo,1,0,0,1
Holly Lincoln-Smith,Australia,2012,Waterpolo,0,0,1,1
Laura López,Spain,2012,Waterpolo,0,1,0,1
Ona Meseguer,Spain,2012,Waterpolo,0,1,0,1
Stefan Mitrovic,Serbia,2012,Waterpolo,0,0,1,1
Petar Muslim,Croatia,2012,Waterpolo,1,0,0,1
Glencora Ralph,Australia,2012,Waterpolo,0,0,1,1
Rowie Webster,Australia,2012,Waterpolo,0,0,1,1
Rianne Guichelaar,Netherlands,2008,Waterpolo,1,0,0,1
Norbert Hosnyánszky,Hungary,2008,Waterpolo,1,0,0,1
Moriah Van Norman,United States,2008,Waterpolo,0,1,0,1
Dániel Varga,Hungary,2008,Waterpolo,1,0,0,1
Lauren Wenger,United States,2008,Waterpolo,0,1,0,1
Margaret Dingeldein,United States,2004,Waterpolo,0,0,1,1
Jacqueline Frank,United States,2004,Waterpolo,0,0,1,1
Georgia Lara,Greece,2004,Waterpolo,0,1,0,1
Kiki Liosi,Greece,2004,Waterpolo,0,1,0,1
Norbert Madaras,Hungary,2004,Waterpolo,1,0,0,1
Ádám Steinmetz,Hungary,2004,Waterpolo,1,0,0,1
Brenda Villa,United States,2004,Waterpolo,0,0,1,1
Péter Biros,Hungary,2000,Waterpolo,1,0,0,1
Rajmund Fodor,Hungary,2000,Waterpolo,1,0,0,1
Tamás Kásás,Hungary,2000,Waterpolo,1,0,0,1
Nicolle Payne,United States,2000,Waterpolo,0,1,0,1
Barnabás Steinmetz,Hungary,2000,Waterpolo,1,0,0,1
Bulcsú Székely,Hungary,2000,Waterpolo,1,0,0,1
Attila Vári,Hungary,2000,Waterpolo,1,0,0,1
Yekaterina Vasilyeva,Russia,2000,Waterpolo,0,0,1,1
Foluke Akinradewo,United States,2012,Volleyball,0,1,0,1
Destinee Hooker,United States,2012,Volleyball,0,1,0,1
Maiko Kano,Japan,2012,Volleyball,0,0,1,1
Maksim Mikhaylov,Russia,2012,Volleyball,1,0,0,1
Saori Sakoda,Japan,2012,Volleyball,0,0,1,1
Yury Berezhko,Russia,2008,Volleyball,0,0,1,1
Pereira de Carvalho Endres Jaque,Brazil,2008,Volleyball,1,0,0,1
Mari,Brazil,2008,Volleyball,1,0,0,1
Samuel,Brazil,2008,Volleyball,0,1,0,1
Olga Chukanova,Russia,2004,Volleyball,0,1,0,1
Paolo Cozzi,Italy,2004,Volleyball,0,1,0,1
Li Shan,China,2004,Volleyball,1,0,0,1
Anniara Muñoz,Cuba,2004,Volleyball,0,0,1,1
Song Nina,China,2004,Volleyball,1,0,0,1
Yang Hao,China,2004,Volleyball,1,0,0,1
Zhang Na,China,2004,Volleyball,1,0,0,1
Aleksey Kazakov,Russia,2000,Volleyball,0,1,0,1
Olga Potashova,Russia,2000,Volleyball,0,1,0,1
Simone Rosalba,Italy,2000,Volleyball,0,0,1,1
Sergey Tetyukhin,Russia,2000,Volleyball,0,1,0,1
Roman Yakovlev,Russia,2000,Volleyball,0,1,0,1
Guo Yue,China,2012,Table Tennis,1,0,0,1
Kim Hyang-Mi,North Korea,2004,Table Tennis,0,1,0,1
Ma Lin,China,2004,Table Tennis,1,0,0,1
Yu Ji-Hye,South Korea,2000,Table Tennis,0,0,1,1
Alistair Brownlee,Great Britain,2012,Triathlon,1,0,0,1
Karen Cockburn,Canada,2004,Trampoline,0,1,0,1
Robelis Despaigne,Cuba,2012,Taekwondo,0,0,1,1
María Espinoza,Mexico,2012,Taekwondo,0,0,1,1
Nicolás García,Spain,2012,Taekwondo,0,1,0,1
Hou Yuzhuo,China,2012,Taekwondo,0,1,0,1
Arman Chilmanov,Kazakhstan,2008,Taekwondo,0,0,1,1
Chika Chukwumerije,Nigeria,2008,Taekwondo,0,0,1,1
Dalia Contreras,Venezuela,2008,Taekwondo,0,0,1,1
Natália Falavigna,Brazil,2008,Taekwondo,0,0,1,1
Diana Lopez,United States,2008,Taekwondo,0,0,1,1
Sandra Šaric,Croatia,2008,Taekwondo,0,0,1,1
Jang Ji-Won,South Korea,2004,Taekwondo,1,0,0,1
Alexandros Nikolaidis,Greece,2004,Taekwondo,0,1,0,1
Bahri Tanrikulu,Turkey,2004,Taekwondo,0,1,0,1
Hadi Saei,Iran,2000,Taekwondo,0,0,1,1
Li Ting,China,2004,Tennis,1,0,0,1
Luo Xi,China,2012,Synchronized Swimming,0,1,0,1
Mariya Gromova,Russia,2008,Synchronized Swimming,1,0,0,1
Wang Na,China,2008,Synchronized Swimming,0,0,1,1
Lauren McFall,United States,2004,Synchronized Swimming,0,0,1,1
Juri Tatsumi,Japan,2004,Synchronized Swimming,0,1,0,1
Yoko Yoneda,Japan,2000,Synchronized Swimming,0,1,0,1
Andrey Grechin,Russia,2012,Swimming,0,0,1,1
Femke Heemskerk,Netherlands,2012,Swimming,0,1,0,1
Charlie Houchin,United States,2012,Swimming,1,0,0,1
Mylene Lazare,France,2012,Swimming,0,0,1,1
Tyler McGill,United States,2012,Swimming,1,0,0,1
Matt McLean,United States,2012,Swimming,1,0,0,1
Haruka Ueda,Japan,2012,Swimming,0,0,1,1
Cameron van der Burgh,South Africa,2012,Swimming,1,0,0,1
Milorad Cavic,Serbia,2008,Swimming,0,1,0,1
Lara Davenport,Australia,2008,Swimming,1,0,0,1
Fabien Gilot,France,2008,Swimming,0,1,0,1
Cullen Jones,United States,2008,Swimming,1,0,0,1
Linda MacKenzie,Australia,2008,Swimming,1,0,0,1
Grégory Mallet,France,2008,Swimming,0,1,0,1
Takeshi Matsuda,Japan,2008,Swimming,0,0,1,1
Oussama Mellouli,Tunisia,2008,Swimming,1,0,0,1
Junichi Miyashita,Japan,2008,Swimming,0,0,1,1
Megan Quann-Jendrick,United States,2008,Swimming,0,1,0,1
Hinkelien Schreuder,Netherlands,2008,Swimming,1,0,0,1
Kim Vandenberg,United States,2008,Swimming,0,0,1,1
Zhou Yafei,China,2008,Swimming,0,0,1,1
Johan Kenkhuis,Netherlands,2004,Swimming,0,1,0,1
Colleen Lanne,United States,2004,Swimming,0,1,0,1
Anne Poleska,Germany,2004,Swimming,0,0,1,1
Craig Stevens,Australia,2004,Swimming,0,1,0,1
Dyana Calub,Australia,2000,Swimming,0,1,0,1
Louise Jöhncke,Sweden,2000,Swimming,0,0,1,1
Jens Kruppa,Germany,2000,Swimming,0,0,1,1
Tom Malchow,United States,2000,Swimming,1,0,0,1
Scott Tucker,United States,2000,Swimming,0,1,0,1
Tom Wilkens,United States,2000,Swimming,0,0,1,1
Guillaume Bastille,Canada,2010,Short-Track Speed Skating,1,0,0,1
Kimberly Derrick,United States,2010,Short-Track Speed Skating,0,0,1,1
Amanda Overland,Canada,2006,Short-Track Speed Skating,0,1,0,1
Katia Zini,Italy,2006,Short-Track Speed Skating,0,0,1,1
Fabio Carta,Italy,2002,Short-Track Speed Skating,0,1,0,1
Nicola Franceschina,Italy,2002,Short-Track Speed Skating,0,1,0,1
Alanna Kraus,Canada,2002,Short-Track Speed Skating,0,0,1,1
Annette Gerritsen,Netherlands,2010,Speed Skating,0,1,0,1
Mathieu Giroux,Canada,2010,Speed Skating,1,0,0,1
Denny Morrison,Canada,2010,Speed Skating,1,0,0,1
Christine Nesbitt,Canada,2010,Speed Skating,1,0,0,1
Wang Beixing,China,2010,Speed Skating,0,0,1,1
Kylie Cronk,Australia,2008,Softball,0,0,1,1
Andrea Duran,United States,2008,Softball,0,1,0,1
Vicky Galindo,United States,2008,Softball,0,1,0,1
Emi Inui,Japan,2008,Softball,1,0,0,1
Lauren Lappin,United States,2008,Softball,0,1,0,1
Rei Nishiyama,Japan,2008,Softball,1,0,0,1
Eri Yamada,Japan,2008,Softball,1,0,0,1
Amanda Freed,United States,2004,Softball,1,0,0,1
